name,hashtags
paris live,"['france', 'saccageparis', 'paris', 'gay', 'ue', 'notredame', 'soleil', 'montmartre', 'paris18', 'patrimoine', 'saccageaparis', 'weekend', 'conseildeparis', 'usa', 'flowers', 'spring', 'printemps', 'fleurs', 'politique', 'lyon', 'immobilier', 'parismaville', 'performance', 'notredamedeparis', 'hidalgo', 'parisjetaime', 'kcorp', 'balade', 'ratp', 'architecture', 'blue', 'sky', 'annehidalgo', 'histoire', 'nofilter', 'ciel', 'paris20', 'paris15', 'seine', 'citation', 'springtime', 'presse', 'iloveparis', 'weloveparis', 'welove18', 'nord', '5g', 'strasbourg', 'paris9', 'gayparis', 'boulognebillancourt', 'friends', 'europe', 'dimanche', 'ligue_des_optimistes', 'lundi', 'marchelesbienne', 'fakenews', 'paris17', '24avril2021', 'hautsdeseine', 'jnbat', 'jardinduluxembourg', '18avril2021']"
anti-gov,"['stopdictature', 'macrondestitution', 'stopdictaturesanitaire', 'contrevaccincovidenfant', 'macrondemission', 'touchepasamesenfants']"
soccer (ol),"['lille', 'ol', 'ollosc', 'teamol', 'transferts', 'lt', 'girondins', 'loscmhsc', 'olpsg', 'bordeaux', 'garcia', 'loireatlantique', 'ligue1ubereats', 'daghemunegu', 'nantes', 'fcnol', 'athleticbarca', 'pekinexpress', 'bordeauxmaville', 'pekinexpress2021', 'eds', 'depay', 'vidéo', 'cdf', 'fcgbasm', 'photos', 'monaco', 'olsco', 'angers', 'ex_ol', 'olasm', 'coupedefrance', 'fclfcgb']"
french riviera,"['ilovenice', 'explorenicecotedazur', 'cotedazurfrance', 'anniversaire', 'roubaix', 'alpesmaritimes', 'meteo06', 'formation', 'running', 'nice06', 'picoftheday', 'run', 'innovation', 'orange', 'courbevoie', 'teammarievalou', 'cotedazur', 'frenchriviera', 'gel', 'sainttropez', 'var', 'nicefrance', 'climat', 'villedenice', 'nicecotedazur', 'emploi', 'sud', 'recrutement', 'job', 'villedegrasse', 'grasse', 'jourdelaterre', 'cannes', 'nice', 'tourcoing', 'mondaymotivation', 'lundimotivation', 'startup', 'jeudiphoto', 'onatousbesoindusud', 'earthday', 'journeedelaterre']"
top hts,"['rambouillet', 'covid19france', 'bts', 'crisesanitaire', 'sécurité', 'bio', 'sarahhalimi', 'imolagp', 'cnews', 'evian', 'gouvernement', 'btscontrolecontinu', 'marseille', 'fashion', 'vaccinationcovid', 'hdpros', 'covid19', 'covid', 'eelv', 'montpellier', 'retrogaming', 'nintendo', 'confinement', 'environnement', 'loiclimat', 'regionales2021', 'dunkerque', 'santé', 'covid_19', 'occitanie', 'castex', 'vaccination', 'covidー19', 'dna', 'pfizer', 'ramadan', 'rse', 'tf1', 'tpmp', 'paca', 'tpmpweekend', 'toulouse', 'halimi', 'humour', 'f1', 'justicepoursarahhalimi', 'lr', 'presidentielle2022', 'macron', 'couvrefeu', 'hommage', 'rip', 'justice', 'darmanin', 'bfmtv', 'confinementsaison3', 'princephilipfuneral', 'idf', 'police', 'lrem', 'thevoice', 'ramadanmubarak', 'melenchon', 'variantbresilien', 'tchernobyl', 'vaccin', 'astrazeneca', 'ramadan2021', 'punchline', 'ecologie', 'oscars', 'france2', 'departementales2021', 'paris12', 'lelabyrinthe', 'electionsregionales', 'influenceurs', 'aixenprovence', 'amazon', 'alerteenlevement', 'lfi', 'lamatinale', 'rn', 'foxnews', 'pharma', 'compol', 'ggrmc', 'coronavirus', 'midinews', 'jeuxvideo', 'tchad', 'yoga', 'lesrp', 'cannabis', 'virychatillon', 'blanquer', 'clem', 'essonne', 'afp', 'quotidien', 'terrorisme', 'confinement3', 'macron2022', 'demainnousappartient', 'communication', 'netflix', 'laïcité', 'régionales2021', 'etatsgenerauxdelalaicite', 'castex18h', 'judiciaire', 'elections2021', 'deconfinement', 'neuilly', 'brulux', 'genocidearmenien']"
visual arts,"['falconandwintersoldier', 'caudebec', 'normandie', 'dessin', 'cinema', 'rt', 'culture', 'art', 'streetart', 'rouen', 'illustration', 'paris13', 'jeunesse', 'artist', 'atelier', 'lehavre', 'graffiti', 'abstract', 'abstractart', 'aspie', 'asperger', 'contemporaryart', 'tokyo2020', 'pariscentre', 'bébésoismienne', 'allauch', 'peinture', 'lundifleuri', 'sainthonoré', 'streetartparis', 'painting', 'pblv', 'quai36garedunord']"
photography,"['rennes', 'enjoy33', 'enjoylife', 'smile', 'love', 'amour', 'podcast', 'photo', 'photooftheday', 'hautsdefrance', 'photography', 'portrait', 'instagram', 'zara', 'famille', 'vacances', 'voyage', 'shooting', 'instagood', 'clubhouse', 'photographie', 'streetphotography', 'vin', 'merci', 'respect', 'bretagne', 'goodmorning', 'sncf']"
sport (soccer),"['ldc', 'teamom', 'rmclive', 'om', 'ede', 'omfcl', 'teampsg', 'rclens', 'football', 'psg', 'psgfcb', 'icicestparis', 'venteom', 'ucl', 'championsleague', 'psgbayern', 'psgbay', 'havre', 'teamparieur', 'allezparis', 'ps5', 'sdrom', 'psgasse', 'ligue1', 'sb29rcl', 'superleague', 'uefa', 'nosuperleague', 'notosuperleague', 'superligue', 'superleagueout', 'notoeuropeansuperleague', 'halamadrid', 'bvbmci', 'livrma', 'benzema', 'zidane', 'asm', 'fcmpsg', 'rclno', 'perez', 'psgsco']"
nature,"['happy', 'sport', 'biarritz', 'lumiere', 'light', 'ray', 'rayondesoleil', 'rayon', 'bruxelles', 'belgium', 'belgique', 'vexin', 'cycling', 'iledefrance', 'bois', 'étudiants', 'nature', 'seineetmarne', 'sunset', '10km', 'yvelines', 'green', 'sun', 'trees', 'breathe', 'cardio', 'bicycle']"
space,"['vendredilecture', 'twitter', 'prediction', 'astrology', 'bitcoin', 'teletravail', 'velotaf', 'spacex', 'missionalpha', 'crewdragon', 'thomaspesquet', 'iss', 'nasa']"
